tag,profile,cls,p,coverage,coverage_sd,false_rate,false_rate_sd,chain_cov,chain_cov_sd,recloss,recloss_sd,irrec,irrec_sd,error_links,error_links_sd,irrec_links,irrec_links_sd,no_cert_links,no_cert_links_sd,fallback,fallback_sd,candidates,candidates_sd,ed_effort,ed_effort_sd,ed_error,ed_error_sd,ed_abstention,ed_abstention_sd,ed,ed_sd,secs,secs_sd
main,dense,source_artifacts,0.2,0.5309027777777778,0.010648206415638533,0.12061844251914942,0.009603337420418072,0.2647083333333333,0.010437347890827061,0.7352916666666667,0.01043734789082705,0.7352916666666667,0.01043734789082705,0.07284027777777778,0.0062252555980625065,0.25290972222222224,0.0066789109962265975,0.3962569444444444,0.011296558682201795,1.1325833333333333,0.029369470364201084,135.16654166666666,3.09979061350726,2.4842487499999986,0.059964894169104,10.926041666666666,0.9337883397093759,118.87708333333333,3.3889676046605395,132.28737375,3.1986459514696057,0.0228579688584432,0.0022167782502412327
main,dense,source_artifacts,0.4,0.29389583333333336,0.009314059023880238,0.302723813112693,0.022370683497035786,0.04675,0.008319725732096578,0.95325,0.008319725732096585,0.95325,0.008319725732096585,0.1277638888888889,0.011468033728405297,0.47841666666666666,0.00562572643493511,0.5783402777777777,0.012186740346362345,2.0895,0.06890454453307085,187.09675,5.546571763352872,3.960467499999999,0.12331254299341854,19.164583333333333,1.7202050592607943,173.50208333333333,3.6560221039086986,196.62713416666665,2.8334734917731565,0.0310011625289917,0.006978136318990017
main,dense,timestamps,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007248681271448731,0.00045578931580690104
main,dense,timestamps,0.01,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007364824996329844,0.0009007077918783356
main,dense,timestamps,0.05,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009044931060634554,0.003452728612822494
main,dense,timestamps,0.1,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007248556148260832,0.0004924612009902086
main,dense,timestamps,0.2,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008904914488084614,0.0031155209870055555
main,dense,timestamps,0.4,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009462329209782183,0.0029657101986868663
main,sparse,approval_links,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023884186521172523,0.00021956757992117854
main,sparse,approval_links,0.01,0.9993333333333333,0.0005129891760425908,0.0,0.0,0.996,0.003077935056255467,0.0,0.0,0.01,0.005,0.0,0.0,0.0016666666666666668,0.0008333333333333334,0.0006666666666666668,0.000512989176042577,0.01,0.005,0.5,0.25,0.015,0.0075,0.0,0.0,0.2,0.15389675281277312,0.215,0.15849933587773865,0.002311339764855802,0.00014159754315187613
main,sparse,approval_links,0.05,0.9964375,0.0010159096261090738,0.0,0.0,0.978625,0.0060954577566543836,0.0,0.0,0.050625,0.007516429373466885,0.0,0.0,0.0084375,0.0012527382289111474,0.0035625,0.0010159096261090613,0.050625,0.007516429373466885,2.53125,0.37582146867334426,0.0759375,0.011274644060200328,0.0,0.0,1.06875,0.3047728878327184,1.1446875,0.308460170539424,0.0024401376256719233,0.00015476278561824347
main,sparse,approval_links,0.1,0.993125,0.001647366319151169,0.0,0.0,0.95875,0.009884197914907045,0.0,0.0,0.100875,0.020715411882791135,0.0,0.0,0.0168125,0.003452568647131856,0.006875,0.0016473663191511729,0.100875,0.020715411882791135,5.04375,1.0357705941395567,0.1513125,0.031073117824186706,0.0,0.0,2.0625,0.4942098957453519,2.2138125,0.5177158326612756,0.0025682687759399415,0.00011708297642340379
main,sparse,approval_links,0.2,0.9878333333333333,0.0019430864096384437,0.0,0.0,0.927,0.01165851845783069,0.0,0.0,0.1905,0.016234304160602248,0.0,0.0,0.03175,0.0027057173601003743,0.012166666666666666,0.001943086409638449,0.1905,0.016234304160602248,9.525,0.8117152080301122,0.28575,0.024351456240903374,0.0,0.0,3.65,0.5829259228915347,3.93575,0.5962830869116129,0.0029624498682096602,0.00023431530929340067
main,sparse,approval_links,0.4,0.972875,0.0033549191430108103,0.0,0.0,0.83725,0.020129514858064836,0.0,0.0,0.391625,0.03041678682985157,0.0,0.0,0.06527083333333333,0.005069464471641928,0.027125,0.003354919143010804,0.391625,0.03041678682985157,19.58125,1.5208393414925783,0.5874375000000001,0.04562518024477734,0.0,0.0,8.1375,1.0064757429032414,8.7249375,1.0383966064734256,0.003517818753607571,0.00021473276538559025
main,sparse,combined,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00225833123549819,0.00011952109322500475
