tag,profile,cls,p,seed,coverage,false_rate,chain_cov,recloss,irrec,error_links,irrec_links,no_cert_links,fallback,candidates,ed_effort,ed_error,ed_abstention,ed,secs
main,sparse,approval_links,0.0,5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023290407843887806
main,sparse,approval_links,0.0,6,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022161249071359634
main,sparse,approval_links,0.0,7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00220333319157362
main,sparse,approval_links,0.0,8,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002222917042672634
main,sparse,approval_links,0.0,9,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002198208123445511
main,sparse,approval_links,0.0,10,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002375165931880474
main,sparse,approval_links,0.0,11,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002519667148590088
main,sparse,approval_links,0.0,12,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022483747452497482
main,sparse,approval_links,0.0,13,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002158291172236204
main,sparse,approval_links,0.0,14,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021751667372882366
main,sparse,approval_links,0.0,15,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027082497254014015
main,sparse,approval_links,0.0,16,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025034169666469097
main,sparse,approval_links,0.0,17,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002292209304869175
main,sparse,approval_links,0.0,18,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024209157563745975
main,sparse,approval_links,0.0,19,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002619832754135132
main,sparse,approval_links,0.01,0,0.9991666666666666,0.0,0.995,0.0,0.005,0.0,0.0008333333333333334,0.0008333333333333334,0.005,0.25,0.0075,0.0,0.25,0.2575,0.0023089158348739147
main,sparse,approval_links,0.01,1,0.9991666666666666,0.0,0.995,0.0,0.015,0.0,0.0025,0.0008333333333333334,0.015,0.75,0.0225,0.0,0.25,0.2725,0.002677416894584894
main,sparse,approval_links,0.01,2,0.9995833333333334,0.0,0.9975,0.0,0.005,0.0,0.0008333333333333334,0.0004166666666666667,0.005,0.25,0.0075,0.0,0.125,0.1325,0.002241457812488079
main,sparse,approval_links,0.01,3,0.9995833333333334,0.0,0.9975,0.0,0.015,0.0,0.0025,0.0004166666666666667,0.015,0.75,0.0225,0.0,0.125,0.1475,0.0022748750634491444
main,sparse,approval_links,0.01,4,0.9983333333333333,0.0,0.99,0.0,0.0175,0.0,0.002916666666666667,0.0016666666666666668,0.0175,0.875,0.02625,0.0,0.5,0.52625,0.002423542086035013
main,sparse,approval_links,0.01,5,0.9991666666666666,0.0,0.995,0.0,0.0075,0.0,0.00125,0.0008333333333333334,0.0075,0.375,0.01125,0.0,0.25,0.26125,0.002213709056377411
main,sparse,approval_links,0.01,6,0.9995833333333334,0.0,0.9975,0.0,0.0125,0.0,0.0020833333333333333,0.0004166666666666667,0.0125,0.625,0.01875,0.0,0.125,0.14375,0.0023127500899136066
main,sparse,approval_links,0.01,7,0.9983333333333333,0.0,0.99,0.0,0.0125,0.0,0.0020833333333333333,0.0016666666666666668,0.0125,0.625,0.01875,0.0,0.5,0.51875,0.002239542081952095
