profile,p,seed,total_links,ids_usable,time_usable,union_usable,premise_links,only_union_loss,premise_rate,only_union_loss_rate,conditional_loss
dense,0.0,15,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,16,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,17,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,18,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.0,19,7200,7200,7200,7200,7200,0,1.0,0.0,0.0
dense,0.01,0,7200,7192,7200,7192,7192,0,0.9988888888888889,0.0,0.0
dense,0.01,1,7200,7196,7200,7196,7196,0,0.9994444444444445,0.0,0.0
dense,0.01,2,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.01,3,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,4,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,5,7200,7191,7200,7191,7191,0,0.99875,0.0,0.0
dense,0.01,6,7200,7193,7200,7193,7193,0,0.9990277777777777,0.0,0.0
dense,0.01,7,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,8,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,9,7200,7189,7200,7189,7189,0,0.9984722222222222,0.0,0.0
dense,0.01,10,7200,7186,7200,7186,7186,0,0.9980555555555556,0.0,0.0
dense,0.01,11,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.01,12,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,13,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.01,14,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.01,15,7200,7187,7200,7187,7187,0,0.9981944444444445,0.0,0.0
dense,0.01,16,7200,7188,7200,7188,7188,0,0.9983333333333333,0.0,0.0
dense,0.01,17,7200,7190,7200,7190,7190,0,0.9986111111111111,0.0,0.0
dense,0.01,18,7200,7192,7200,7192,7192,0,0.9988888888888889,0.0,0.0
