profile,p,lambda,pi,cls,effort,error,abstention,ed,rank
dense,0.4,10.0,50.0,ids_plus_timestamps,1.7018541666666667,1.6133333333333333,126.42083333333333,129.73602083333333,4
dense,0.4,10.0,50.0,combined,3.2523470833333343,4.6691666666666665,215.09375000000003,223.01526375000003,1
dense,0.4,25.0,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,25.0,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,25.0,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,3
dense,0.4,25.0,50.0,source_artifacts,3.960467499999999,19.164583333333336,173.50208333333333,196.62713416666668,2
dense,0.4,25.0,50.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,25.0,50.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,126.42083333333333,132.15602083333334,4
dense,0.4,25.0,50.0,combined,3.2523470833333343,11.672916666666666,215.09375000000003,230.01901375000003,1
dense,0.4,50.0,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,50.0,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,50.0,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,4
dense,0.4,50.0,50.0,source_artifacts,3.960467499999999,38.32916666666667,173.50208333333333,215.7917175,2
dense,0.4,50.0,50.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,50.0,50.0,ids_plus_timestamps,1.7018541666666667,8.066666666666666,126.42083333333333,136.18935416666667,3
dense,0.4,50.0,50.0,combined,3.2523470833333343,23.34583333333333,215.09375000000003,241.6919304166667,1
dense,0.4,100.0,50.0,intent_links,1.0027083333333333,0.0,8.406250000000002,9.408958333333334,6
dense,0.4,100.0,50.0,approval_links,1.0027083333333333,0.0,19.279166666666665,20.281875,5
dense,0.4,100.0,50.0,correlation_ids,2.4303125,0.0,133.73125,136.1615625,4
dense,0.4,100.0,50.0,source_artifacts,3.960467499999999,76.65833333333335,173.50208333333333,254.12088416666666,2
dense,0.4,100.0,50.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,100.0,50.0,ids_plus_timestamps,1.7018541666666667,16.133333333333333,126.42083333333333,144.25602083333334,3
dense,0.4,100.0,50.0,combined,3.2523470833333343,46.69166666666666,215.09375000000003,265.03776375,1
dense,0.4,0.0,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
dense,0.4,0.0,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,0.0,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,3
dense,0.4,0.0,100.0,source_artifacts,3.960467499999999,0.0,347.00416666666666,350.96463416666666,2
dense,0.4,0.0,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,0.0,100.0,ids_plus_timestamps,1.7018541666666667,0.0,252.84166666666667,254.54352083333333,4
dense,0.4,0.0,100.0,combined,3.2523470833333343,0.0,430.18750000000006,433.4398470833334,1
dense,0.4,10.0,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
dense,0.4,10.0,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,10.0,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,3
dense,0.4,10.0,100.0,source_artifacts,3.960467499999999,7.6658333333333335,347.00416666666666,358.6304675,2
dense,0.4,10.0,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,10.0,100.0,ids_plus_timestamps,1.7018541666666667,1.6133333333333333,252.84166666666667,256.1568541666667,4
dense,0.4,10.0,100.0,combined,3.2523470833333343,4.6691666666666665,430.18750000000006,438.10901375000003,1
dense,0.4,25.0,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
dense,0.4,25.0,100.0,approval_links,1.0027083333333333,0.0,38.55833333333333,39.56104166666666,5
dense,0.4,25.0,100.0,correlation_ids,2.4303125,0.0,267.4625,269.8928125,3
dense,0.4,25.0,100.0,source_artifacts,3.960467499999999,19.164583333333336,347.00416666666666,370.1292175,2
dense,0.4,25.0,100.0,timestamps,0.0,0.0,0.0,0.0,7
dense,0.4,25.0,100.0,ids_plus_timestamps,1.7018541666666667,4.033333333333333,252.84166666666667,258.5768541666667,4
dense,0.4,25.0,100.0,combined,3.2523470833333343,11.672916666666666,430.18750000000006,445.11276375000006,1
dense,0.4,50.0,100.0,intent_links,1.0027083333333333,0.0,16.812500000000004,17.815208333333338,6
